date,open,high,low,close,volume,clv,close_strength,volume_ma7,volume_ma14,volume_ma28,relative_volume7,relative_volume28,volume_zscore28,daily_return,normalized_move,abs_normalized_move,liquidity_pressure,close_volume_strength,smart_money_pressure,next_day_return_pct,next_3day_return_pct,next_5day_return_pct,strong_bullish_liquidity_day,strong_bearish_liquidity_day
2026-07-09,2.29,2.29,2.25,2.25,1506689.0,0.0,-1.0,7254601.0,5625398.714285715,,0.2076873697119938,,0.0,-0.013157894736842035,-0.13157894736842035,0.13157894736842035,-0.027327285488420092,-0.2076873697119938,-0.4394736842105261,8.888888888888896,3.555555555555559,4.444444444444448,False,False
2026-07-12,2.26,2.47,2.26,2.45,12835399.0,0.9047619047619049,0.8095238095238098,7539799.428571428,6352400.928571428,,1.7023528439445414,,0.0,0.08888888888888902,0.8888888888888902,0.8888888888888902,1.5132025279507058,1.3780951593836768,0.590476190476191,-4.48979591836736,-4.48979591836736,-6.122448979591851,True,False
2026-07-13,2.45,2.45,2.34,2.34,7811478.0,0.0,-1.0,7529217.714285715,6788518.571428572,,1.0374886603662334,,0.0,-0.044897959183673564,-0.44897959183673564,0.44897959183673564,-0.4658112352664731,-1.0374886603662334,-0.5346938775510207,-0.4273504273504183,0.42735042735043727,0.0,False,False
2026-07-14,2.35,2.37,2.3,2.33,4190890.0,0.4285714285714304,-0.14285714285713924,6124206.0,6967769.214285715,,0.6843156484285473,,0.0,-0.004273504273504147,-0.04273504273504147,0.04273504273504147,-0.029244258479851584,-0.09775937834693285,-0.06996336996336813,0.429184549356214,-1.28755364806868,-0.42918454935623307,False,False
2026-07-15,2.34,2.43,2.33,2.34,3872906.0,0.09999999999999779,-0.8000000000000045,5910572.714285715,6998315.857142857,,0.6552505463031151,,0.0,0.0042918454935620964,0.042918454935620964,0.042918454935620964,0.028122341043051263,-0.524200437042495,-0.30712446351931555,0.42735042735043727,0.0,-0.4273504273504183,False,False
2026-07-16,2.35,2.37,2.33,2.35,1908414.0,0.5,0.0,5154305.428571428,7049216.928571428,,0.3702562889310457,,0.0,0.00427350427350448,0.042735042735044804,0.042735042735044804,0.015822918330387334,0.0,0.012820512820513441,-2.1276595744680966,-1.2765957446808616,-0.8510638297872347,False,False
2026-07-19,2.34,2.35,2.3,2.3,2108966.0,0.0,-1.0,4890677.428571428,6942977.071428572,4426455.071428572,0.4312216519698031,0.47644581634019906,-0.5667031090795448,-0.021276595744680993,-0.21276595744680993,0.21276595744680993,-0.09174928765315021,-0.4312216519698031,-0.6177099612339796,1.7391304347826104,1.3043478260869674,0.0,False,False
2026-07-20,2.3,2.37,2.3,2.34,5505159.0,0.5714285714285696,0.14285714285713924,5461887.428571428,6358244.214285715,4589890.285714285,1.0079224575743206,1.199409715115506,0.22680101745393932,0.01739130434782621,0.17391304347826209,0.17391304347826209,0.1752908621868396,0.1439889225106136,0.17621395494362094,-0.8547008547008554,-0.4273504273504183,-0.8547008547008554,False,False
2026-07-21,2.34,2.36,2.3,2.32,2231038.0,0.3333333333333333,-0.33333333333333337,3946978.714285714,5743389.071428572,4625108.857142857,0.5652520982504846,0.4823752410831288,-0.5970989865608574,-0.008547008547008517,-0.08547008547008517,0.08547008547008517,-0.0483121451496139,-0.18841736608349488,-0.3194689754704054,0.43103448275863065,-0.8620689655172422,-0.8620689655172422,False,False
2026-07-22,2.32,2.35,2.3,2.33,913666.0,0.6000000000000018,0.2000000000000035,2961577.0,5245397.357142857,4631345.071428572,0.30850658281044185,0.1972787572311413,-0.9286380483899787,0.004310344827586299,0.04310344827586299,0.04310344827586299,0.013297697534933123,0.06170131656208945,-0.1260564488701745,0.0,-0.42918454935623307,-1.28755364806868,False,False
2026-07-23,2.33,2.35,2.31,2.33,875126.0,0.5,0.0,2487896.4285714286,4306051.214285715,4634896.857142857,0.3517533889071519,0.18881240014032674,-0.9399750718117263,0.0,0.0,0.0,0.0,0.0,-0.22056323984812704,-1.28755364806868,-1.28755364806868,-0.858369098712447,False,False
2026-07-26,2.34,2.35,2.3,2.3,1526785.0,0.0,-1.0,2152736.285714286,4031654.5,4654251.714285715,0.7092299275725763,0.3280409169348751,-0.7852391070329161,-0.012875536480686844,-0.12875536480686844,0.12875536480686844,-0.09131715805655595,-0.7092299275725763,-0.635337671907791,0.8695652173913052,0.0,0.8695652173913052,False,False
2026-07-27,2.31,2.34,2.31,2.32,1032169.0,0.3333333333333284,-0.33333333333334325,2027558.4285714286,3590931.9285714286,4521609.5,0.5090699165336718,0.22827468847099688,-0.8634951540203322,0.008695652173912993,0.08695652173912993,0.08695652173912993,0.044266949263797296,-0.16968997217789566,-0.31666260242158306,-0.8620689655172422,-0.4310344827586115,8.620689655172423,False,False
2026-07-28,2.32,2.33,2.28,2.3,1444582.0,0.39999999999999825,-0.2000000000000035,1932646.4285714286,3411661.9285714286,4499716.392857143,0.7474631565525436,0.32103845528867814,-0.7531379809361699,-0.008620689655172376,-0.08620689655172376,0.08620689655172376,-0.06443647901315003,-0.14949263131051133,-0.296967258178631,0.0,0.8695652173913052,8.260869565217408,False,False
