symbol,name,market,status,last_updated
8040,Mutakamela Insurance Company,TASI,active,2026-09-23
8050,SALAMA Cooperative Insurance Co.,TASI,active,2026-09-23
8060,Walaa Cooperative Insurance Co.,TASI,active,2026-09-23
8070,Arabian Shield Cooperative Insurance Co.,TASI,active,2026-09-23
8100,Saudi Arabian Cooperative Insurance Co.,TASI,active,2026-09-23
8120,Gulf Union Alahlia Cooperative Insurance Co.,TASI,active,2026-09-23
8150,Allied Cooperative Insurance Group,TASI,active,2026-09-23
8160,Arabia Insurance Cooperative Co.,TASI,active,2026-09-23
8170,Al-Etihad Cooperative Insurance Co.,TASI,active,2026-09-23
8180,Al Sagr Cooperative Insurance Co.,TASI,active,2026-09-23
8190,United Cooperative Assurance Co.,TASI,active,2026-09-23
8200,Saudi Reinsurance Company,TASI,active,2026-09-23
8210,Bupa Arabia for Cooperative Insurance Co.,TASI,active,2026-09-23
8230,Al Rajhi Co. for Cooperative Insurance,TASI,active,2026-09-23
8240,Chubb Arabia Cooperative Insurance Company,TASI,active,2026-09-23
8250,Gulf Insurance Group - GIG,TASI,active,2026-09-23
8260,Gulf General Cooperative Insurance Co.,TASI,active,2026-09-23
8280,LIVA Insurance Company,TASI,active,2026-09-23
8300,Wataniya Insurance Co.,TASI,active,2026-09-23
8310,Amana Cooperative Insurance Co.,TASI,active,2026-09-23
8311,Saudi Enaya Cooperative Insurance Company,TASI,active,2026-09-23
8313,Rasan Information Technology Co.,TASI,active,2026-09-23
9510,National Building & Marketing Co.,TASI,active,2026-09-23
9513,Watani Iron Steel Co,TASI,active,2026-09-23
9514,Mohammed Hassan Al Naqool Sons Co. Ltd,TASI,active,2026-09-23
9515,Fesh Fash Snack Food Production Co.,TASI,active,2026-09-23
9516,Natural Gas Distribution Company,TASI,active,2026-09-23
9517,MOBI Industry Company,TASI,active,2026-09-23
9521,INMAR Company For Real Estate Development and Investment,TASI,active,2026-09-23
9522,Alhasoob Co.,TASI,active,2026-09-23
9523,Group Five Pipe Saudi Ltd.,TASI,active,2026-09-23
9524,Advance International Company for Communication and Information Technology,TASI,active,2026-09-23
9527,AME Company for Medical Supplies,TASI,active,2026-09-23
9530,Arabian International Healthcare Holding Co.,TASI,active,2026-09-23
9532,Al-Jouf Healthy Water Bottling Company,TASI,active,2026-09-23
9533,Saudi Parts Center Co,TASI,active,2026-09-23
9536,Arabian Food & Dairy Factories Co.,TASI,active,2026-09-23
9537,Amwaj International Co,TASI,active,2026-09-23
9538,Naseej for Technology Co.,TASI,active,2026-09-23
9539,Aqaseem Factory for Chemicals and Plastics Co.,TASI,active,2026-09-23
9540,National Environmental Recycling Co.,TASI,active,2026-09-23
9541,Academy of Learning Co.,TASI,active,2026-09-23
9542,KEIR International Co.,TASI,active,2026-09-23
