date,open,high,low,close,volume,prev_close,daily_return,close_strength,volume_sma20,relative_volume20,close_sma20,close_sma50,trend20,trend50,price_position20,breakout20,previous_return5,previous_return10,NextDayReturn,Return3Days,Return5Days,Return7Days,Return10Days,case_a_uptrend,case_b_breakout,case_c_extended,case_d_weak_close,normal_day,trend_strength,z_relative_volume20,z_close_strength,z_trend_strength,breakout_factor,model_a,model_b,model_c,model_d_contextual_score,split
2026-04-26,2.3,2.33,2.25,2.27,2353134.0,2.31,-0.01731601731601733,0.25,5905350.05,0.39847493883956975,2.303,2.3482,-0.014329135909682987,-0.033302103739034083,0.3658536585365854,0.0,-0.05020920502092054,-0.05416666666666663,0.017621145374449355,0.008810572687224677,0.030837004405286274,0.017621145374449355,0.030837004405286274,False,False,False,False,True,-0.023815619824358536,-0.644168126639199,-0.5254587042925304,-0.31165948591251796,1.0,-0.644168126639199,0.3384837491703801,-0.10549167125618233,-0.10549167125618233,Training
2026-04-27,2.25,2.38,2.23,2.31,5941936.0,2.27,0.017621145374449355,0.5333333333333341,6117226.6,0.9713447594045315,2.3049999999999997,2.3432000000000004,0.0021691973969632703,-0.014168658245135001,0.46341463414634165,0.0,-0.017021276595744695,-0.03347280334728036,-0.012987012987013094,0.0,0.008658008658008665,0.004329004329004236,0.01731601731601733,False,False,False,False,True,-0.005999730424085865,-0.14702956507711323,0.4214673995262357,0.11546617471699169,1.0,-0.14702956507711323,-0.061968168446524356,-0.007155227364738353,-0.007155227364738353,Training
2026-04-28,2.31,2.32,2.28,2.28,1798179.0,2.31,-0.012987012987013094,0.0,6112767.85,0.29416772305527683,2.3055,2.3376,-0.011060507482108036,-0.024640657084189048,0.39024390243902396,0.0,-0.0338983050847458,-0.046025104602510594,0.004385964912280803,0.026315789473684237,0.013157894736842216,0.03070175438596504,0.03070175438596504,False,False,False,False,True,-0.017850582283148543,-0.7346863165560812,-1.3609817370737924,-0.16865115535843683,1.0,-0.7346863165560812,0.9998946593108415,-0.168633389529504,-0.168633389529504,Training
2026-04-29,2.28,2.31,2.27,2.29,1857471.0,2.28,0.004385964912280803,0.5,5919607.7,0.31378278665324394,2.3099999999999996,2.3324000000000003,-0.008658008658008474,-0.01817870005144924,0.41463414634146356,0.0,-0.025531914893617044,-0.03375527426160341,0.00873362445414848,0.01746724890829696,0.013100436681222622,0.0218340611353711,0.03056768558951958,False,False,False,False,True,-0.013418354354728858,-0.7176642913908782,0.3100643284887315,-0.062391050153818364,1.0,-0.7176642913908782,-0.22252209659045397,0.013883387288707827,0.013883387288707827,Training
2026-04-30,2.3,2.32,2.28,2.31,2736471.0,2.29,0.00873362445414848,0.7500000000000056,5821335.65,0.470076141374875,2.3155,2.3280000000000003,-0.0023752969121140404,-0.007731958762886699,0.42105263157894784,0.0,0.0,-0.025316455696202552,0.012987012987012903,0.0,0.01731601731601733,0.01731601731601733,0.03463203463203466,False,False,False,False,True,-0.005053627837500369,-0.5820323366975803,1.145587361270012,0.1381484379057401,1.0,-0.5820323366975803,-0.6667688887712001,-0.09211308042788748,-0.09211308042788748,Training
2026-05-03,2.32,2.35,2.3,2.34,2885320.0,2.31,0.012987012987012903,0.7999999999999965,5697219.65,0.5064435246059014,2.3215,2.3254,0.007968985569674764,0.006278489722198213,0.4864864864864862,0.0,0.030837004405286274,-0.02092050209205032,-0.004273504273504183,-0.008547008547008555,0.0,0.004273504273504373,0.029914529914530037,False,False,False,False,True,0.007123737645936488,-0.5504725862303285,1.312691967826234,0.4300937435810409,1.0,-0.5504725862303285,-0.7226009424530863,-0.31078614445483616,-0.31078614445483616,Training
2026-05-04,2.34,2.36,2.31,2.33,2755738.0,2.34,-0.004273504273504183,0.4000000000000018,5650636.3,0.4876863159640977,2.3285,2.3228,0.0006441915396178041,0.0030997072498708867,0.4594594594594597,0.0,0.008658008658008665,-0.008510638297872348,-0.00858369098712447,0.00858369098712447,0.00858369098712447,0.01287553648068661,0.03862660944206003,False,False,False,False,True,0.0018719493947443454,-0.5667501616730529,-0.024144884623767248,0.30418515289106896,1.0,-0.5667501616730529,0.013684117264097297,0.004162505302158752,0.004162505302158752,Training
2026-05-05,2.31,2.33,2.29,2.31,2454197.0,2.33,-0.00858369098712447,0.5,5046157.5,0.4863496630852287,2.3345000000000002,2.3196,-0.010494752623688236,-0.004138644593895426,0.2903225806451612,0.0,0.013157894736842216,-0.021186440677966028,0.004329004329004236,0.012987012987012903,0.01731601731601733,0.03463203463203466,0.0389610389610389,False,False,False,False,True,-0.007316698608791831,-0.567910114014151,0.3100643284887315,0.08389262296874316,1.0,-0.567910114014151,-0.17608866814375668,-0.014772540245652312,-0.014772540245652312,Training
2026-05-06,2.3,2.34,2.29,2.32,2127622.0,2.31,0.004329004329004236,0.5999999999999982,4871007.65,0.43679299087120094,2.3375,2.3158,-0.007486631016042812,0.0018136281198721745,0.2999999999999997,0.0,0.013100436681222622,-0.012765957446808616,0.012931034482758728,0.012931034482758728,0.017241379310344845,0.038793103448275995,0.004310344827586307,False,False,False,False,True,-0.002836501448085319,-0.610915578529613,0.6442735416012303,0.1913027628177217,1.0,-0.610915578529613,-0.39359674339863826,-0.07529614444821738,-0.07529614444821738,Training
2026-05-07,2.32,2.36,2.28,2.35,3275947.0,2.32,0.012931034482758728,0.8750000000000028,4369328.3,0.7497598658356709,2.3395,2.3134,0.004488138491130563,0.015820869715570143,0.4000000000000006,0.0,0.01731601731601733,0.01731601731601733,-0.004255319148936268,0.0,0.017021276595744695,0.029787234042553123,-0.012765957446808616,False,False,False,False,True,0.010154504103350353,-0.3393217600893649,1.5633488776606337,0.5027546192888145,1.0,-0.3393217600893649,-0.5304782928015394,-0.26670041213841816,-0.26670041213841816,Training
